Group,Package,Installation Method,Pre Selected
alacritty,alacritty,pacman,true
beekeeper-studio,beekeeper-studio,custom,false
chromium,chromium,pacman,false
code,code,pacman,false
docker,docker,custom,true
firefox,firefox,pacman,true
gimp,gimp,pacman,false
git,git,pacman,true
klavaro,klavaro,pacman,false
neovim,neovim,pacman,true
nodejs,nodejs,custom,false
obsidian,obsidian,custom,false
remmina,remmina,pacman,false
remmina,freerdp,pacman,false
utils,flameshot,pacman,true
utils,htop,pacman,true
utils,man,pacman,true
utils,man-pages,pacman,true
utils,neofetch,pacman,true
utils,openssh,pacman,true
utils,poppler,pacman,true
utils,unzip,pacman,true
utils,xclip,pacman,true
utils,xsel,pacman,true
utils,zip,pacman,true
virtualization,virtualization,custom,false
zathura,zathura,pacman,false
zathura,zathura-cb,pacman,false
zathura,zathura-djvu,pacman,false
zathura,zathura-pdf-mupdf,pacman,false
zathura,zathura-ps,pacman,false
